Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,unknown,1,,type,1,,
Data,0,file_id,serial_number,"3943917881",,time_created,"871901640",,manufacturer,"1",,garmin_product,"2413",,number,"3",,type,"32",,,,,
Definition,1,device_info,timestamp,1,,serial_number,1,,manufacturer,1,,product,1,,software_version,1,,,,,,,,
Data,1,device_info,timestamp,"871901640",s,serial_number,"3943917881",,manufacturer,"1",,garmin_product,"2413",,software_version,"4.3",,,,,,,,
Definition,2,software,version,1,,,,,,,,,,,,,,,,,,,,
Data,2,software,version,"3.4",,,,,,,,,,,,,,,,,,,,
Definition,3,monitoring_info,timestamp,1,,local_timestamp,1,,cycles_to_distance,2,,cycles_to_calories,2,,unknown,2,,resting_metabolic_rate,1,,activity_type,2,,unknown,1,,
Data,3,monitoring_info,timestamp,"871901640",s,local_timestamp,"871908840",s,cycles_to_distance,"1.4862|2.2294",m/cycle,cycles_to_calories,"0.0304|0.096",kcal/cycle,unknown,"5641|5641",,resting_metabolic_rate,"1545",kcal / day,activity_type,"6|1",,,,,
Definition,4,monitoring,timestamp,1,,distance,1,,cycles,1,,active_time,1,,active_calories,1,,duration_min,1,,activity_type,1,,,,,
Data,4,monitoring,timestamp,"871901640",s,distance,"0.0",m,cycles,"0.0",cycles,active_time,"86.0",s,active_calories,"0",kcal,duration_min,"774",min,activity_type,"0",,,,,
Data,4,monitoring,timestamp,"871901640",s,distance,"258.6",m,steps,"348",steps,active_time,"166.0",s,active_calories,"0",kcal,duration_min,"774",min,activity_type,"6",,,,,
Definition,5,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp,"871901640",s,unknown,"0",,unknown,"0",,,,,,,,,,,,,,,,,
Definition,6,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,6,monitoring,timestamp,"871901640",s,unknown,"0",,unknown,"0",,,,,,,,,,,,,,,,,
Definition,7,unknown,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"871901640",,unknown,"58",,unknown,"40",,,,,,,,,,,,,,,,,
Data,4,monitoring,timestamp,"871901640",s,distance,"0.0",m,cycles,"0.0",cycles,active_time,"86.0",s,active_calories,"0",kcal,duration_min,"774",min,activity_type,"0",,,,,
Data,4,monitoring,timestamp,"871901640",s,distance,"258.6",m,steps,"348",steps,active_time,"166.0",s,active_calories,"0",kcal,duration_min,"774",min,activity_type,"6",,,,,
Data,5,monitoring,timestamp,"871901640",s,unknown,"0",,unknown,"0",,,,,,,,,,,,,,,,,
Data,6,monitoring,timestamp,"871901640",s,unknown,"0",,unknown,"0",,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"871901640",,unknown,"58",,unknown,"40",,,,,,,,,,,,,,,,,
