Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,
Definition,0,file_creator,software_version,1,,hardware_version,1,,
Data,0,file_creator,software_version,"420",,,,,
Definition,1,file_id,serial_number,1,,time_created,1,,unknown,1,,manufacturer,1,,product,1,,number,1,,type,1,,
Data,1,file_id,serial_number,"3943917881",,manufacturer,"1",,garmin_product,"2413",,number,"4",,type,"33",,,,,,,,
Definition,2,unknown,unknown,24,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,
Data,2,unknown,unknown,"Swimrun|��|n|||Run||Wat",,unknown,"0",,unknown,"2",,unknown,"1",,unknown,"1",,unknown,"1",,unknown,"0",,unknown,"1",,unknown,"1",,
Definition,3,unknown,unknown,24,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,
Data,3,unknown,unknown,"Trail Run|il",,unknown,"0",,unknown,"1",,unknown,"3",,unknown,"0",,,,,,,,,,,,,,
Data,3,unknown,unknown,"Open Water",,unknown,"1",,unknown,"5",,unknown,"18",,unknown,"0",,,,,,,,,,,,,,
Data,3,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
